Fecha;Día semana;Sab, dom, festivos;;
6/24/14;Mar;;;
6/25/14;Mié;;;
6/26/14;Jue;;;
6/27/14;Vie;;;
6/28/14;Sáb;Sáb;;
6/29/14;Dom;Dom;;
6/30/14;Lun;;;
7/1/14;Mar;;;
7/2/14;Mié;;;
7/3/14;Jue;;;
7/4/14;Vie;;;
7/5/14;Sáb;Sáb;;
7/6/14;Dom;Dom;;
7/7/14;Lun;;;
7/8/14;Mar;;;
7/9/14;Mié;;;
7/10/14;Jue;;;
7/11/14;Vie;;;
7/12/14;Sáb;Sáb;;
7/13/14;Dom;Dom;;
7/14/14;Lun;;;
7/15/14;Mar;;;
7/16/14;Mié;;;
7/17/14;Jue;;;
7/18/14;Vie;;;
7/19/14;Sáb;Sáb;;
7/20/14;Dom;Dom;;
7/21/14;Lun;;;
7/22/14;Mar;;;
7/23/14;Mié;;;
7/24/14;Jue;;;
7/25/14;Vie;;;
7/26/14;Sáb;Sáb;;
7/27/14;Dom;Dom;;
7/28/14;Lun;;;
7/29/14;Mar;;;
7/30/14;Mié;;;
7/31/14;Jue;;;
8/1/14;Vie;;;
8/2/14;Sáb;Sáb;;
8/3/14;Dom;Dom;;
8/4/14;Lun;;;
8/5/14;Mar;;;
8/6/14;Mié;;;
8/7/14;Jue;;;
8/8/14;Vie;;;
8/9/14;Sáb;Sáb;;
8/10/14;Dom;Dom;;
8/11/14;Lun;;;
8/12/14;Mar;;;
8/13/14;Mié;;;
8/14/14;Jue;;;
8/15/14;Vie;;;
8/16/14;Sáb;Sáb;;
8/17/14;Dom;Dom;;
8/18/14;Lun;;;
8/19/14;Mar;;;
8/20/14;Mié;;;
8/21/14;Jue;;;
8/22/14;Vie;;;
8/23/14;Sáb;Sáb;;
8/24/14;Dom;Dom;;
8/25/14;Lun;;;
8/26/14;Mar;;;
8/27/14;Mié;;;
8/28/14;Jue;;;
8/29/14;Vie;;;
8/30/14;Sáb;Sáb;;
8/31/14;Dom;Dom;;
9/1/14;Lun;;;
9/2/14;Mar;;;
9/3/14;Mié;;;
9/4/14;Jue;;;
9/5/14;Vie;;;
9/6/14;Sáb;Sáb;;
9/7/14;Dom;Dom;;
9/8/14;Lun;;;
9/9/14;Mar;;;
9/10/14;Mié;;;
9/11/14;Jue;;;
9/12/14;Vie;;;
9/13/14;Sáb;Sáb;;
9/14/14;Dom;Dom;;
9/15/14;Lun;;;
9/16/14;Mar;;;
9/17/14;Mié;;;
9/18/14;Jue;;;
9/19/14;Vie;;;
9/20/14;Sáb;Sáb;;
9/21/14;Dom;Dom;;
9/22/14;Lun;;;
9/23/14;Mar;;;
9/24/14;Mié;;;
9/25/14;Jue;;;
9/26/14;Vie;;;
9/27/14;Sáb;Sáb;;
9/28/14;Dom;Dom;;
9/29/14;Lun;;;
9/30/14;Mar;;;
10/1/14;Mié;;;
10/2/14;Jue;;;
10/3/14;Vie;;;
10/4/14;Sáb;Sáb;;
10/5/14;Dom;Dom;;
10/6/14;Lun;;;
10/7/14;Mar;;;
10/8/14;Mié;;;
10/9/14;Jue;;;
10/10/14;Vie;;;
10/11/14;Sáb;Sáb;;
10/12/14;Dom;Dom;;
10/13/14;Lun;;;
10/14/14;Mar;;;
10/15/14;Mié;;;
10/16/14;Jue;;;
10/17/14;Vie;;;
10/18/14;Sáb;Sáb;;
10/19/14;Dom;Dom;;
10/20/14;Lun;;;
10/21/14;Mar;;;
10/22/14;Mié;;;
10/23/14;Jue;;;
10/24/14;Vie;;;
10/25/14;Sáb;Sáb;;
10/26/14;Dom;Dom;;
10/27/14;Lun;;;
10/28/14;Mar;;;
10/29/14;Mié;;;
10/30/14;Jue;;;
10/31/14;Vie;;;
11/1/14;Sáb;Sáb;;
11/2/14;Dom;Dom;;
11/3/14;Lun;;;
11/4/14;Mar;;;
11/5/14;Mié;;;
11/6/14;Jue;;;
11/7/14;Vie;;;
11/8/14;Sáb;Sáb;;
11/9/14;Dom;Dom;;
11/10/14;Lun;;;
11/11/14;Mar;;;
11/12/14;Mié;;;
11/13/14;Jue;;;
11/14/14;Vie;;;
11/15/14;Sáb;Sáb;;
11/16/14;Dom;Dom;;
11/17/14;Lun;;;
11/18/14;Mar;;;
11/19/14;Mié;;;
11/20/14;Jue;;;
11/21/14;Vie;;;
11/22/14;Sáb;Sáb;;
11/23/14;Dom;Dom;;
11/24/14;Lun;;;
11/25/14;Mar;;;
11/26/14;Mié;;;
11/27/14;Jue;;;
11/28/14;Vie;;;
11/29/14;Sáb;Sáb;;
11/30/14;Dom;Dom;;
12/1/14;Lun;;;
12/2/14;Mar;;;
12/3/14;Mié;;;
12/4/14;Jue;;;
12/5/14;Vie;;;
12/6/14;Sáb;Sáb;;
12/7/14;Dom;Dom;;
12/8/14;Lun;;;
12/9/14;Mar;;;
12/10/14;Mié;;;
12/11/14;Jue;;;
12/12/14;Vie;;;
12/13/14;Sáb;Sáb;;
12/14/14;Dom;Dom;;
12/15/14;Lun;;;
12/16/14;Mar;;;
12/17/14;Mié;;;
12/18/14;Jue;;;
12/19/14;Vie;;;
12/20/14;Sáb;Sáb;;
12/21/14;Dom;Dom;;
12/22/14;Lun;;;
12/23/14;Mar;;;
12/24/14;Mié;;;
12/25/14;Jue;;;
12/26/14;Vie;;;
12/27/14;Sáb;Sáb;;
12/28/14;Dom;Dom;;
12/29/14;Lun;;;
12/30/14;Mar;;;
12/31/14;Mié;;;
1/1/15;Jue;;;
1/2/15;Vie;;;
1/3/15;Sáb;Sáb;;
