DIA;Usos bicis abono anual ;Usos bicis abono ocasional ;Usos bicis total;;Usos abono anual acumulado;Usos abono ocasional acumulado;Usos total acumulado desde inicio;;Acumulado mes total;;;;;;;;;
6/23/14;17;79;96;;17;79;96;;;;;;;;;;;
6/24/14;24;48;72;;41;127;168;;;;;;;;;;;
6/25/14;105;14;119;;146;141;287;;;;;;;;;;;
6/26/14;120;15;135;;266;156;422;;;;;;;;;;;
6/27/14;131;18;149;;397;174;571;;;;;;;;;;;
6/28/14;101;18;119;;498;192;690;;;;;;;;;;;
6/29/14;107;33;140;;605;225;830;;;;;;;;;;;
6/30/14;121;16;137;;726;241;967;;726;;;;;;;;;
7/1/14;124;6;130;;850;247;1097;;;;;;;;;;;
7/2/14;128;2;130;;978;249;1227;;;;;;;;;;;
7/3/14;85;7;92;;1063;256;1319;;;;;;;;;;;
7/4/14;121;4;125;;1184;260;1444;;;;;;;;;;;
7/5/14;783;3;786;;1967;263;2230;;;;;;;;;;;
7/6/14;1230;5;1235;;3197;268;3465;;;;;;;;;;;
7/7/14;1324;3;1327;;4521;271;4792;;;;;;;;;;;
7/8/14;1774;6;1780;;6295;277;6572;;;;;;;;;;;
7/9/14;1874;8;1882;;8169;285;8454;;;;;;;;;;;
7/10/14;2266;7;2273;;10.435;292;10.727;;;;;;;;;;;
7/11/14;2212;2;2214;;12.647;294;12.941;;;;;;;;;;;
7/12/14;1949;4;1953;;14.596;298;14.894;;;;;;;;;;;
7/13/14;1792;2;1794;;16.388;300;16.688;;;;;;;;;;;
7/14/14;2311;3;2314;;18.699;303;19.002;;;;;;;;;;;
7/15/14;2537;2;2539;;21.236;305;21.541;;;;;;;;;;;
7/16/14;2673;7;2680;;23.909;312;24.221;;;;;;;;;;;
7/17/14;2651;8;2659;;26.560;320;26.880;;;;;;;;;;;
7/18/14;2547;5;2552;;29.107;325;29.432;;;;;;;;;;;
7/19/14;2359;2;2361;;31.466;327;31.793;;;;;;;;;;;
7/20/14;2371;2;2373;;33.837;329;34.166;;;;;;;;;;;
7/21/14;2676;3;2679;;36.513;332;36.845;;;;;;;;;;;
7/22/14;2935;4;2939;;39.448;336;39.784;;;;;;;;;;;
7/23/14;2927;5;2932;;42.375;341;42.716;;;;;;;;;;;
7/24/14;3204;9;3213;;45.579;350;45.929;;;;;;;;;;;
7/25/14;3084;2;3086;;48.663;352;49.015;;;;;;;;;;;
7/26/14;2467;0;2467;;51.130;352;51.482;;;;;;;;;;;
7/27/14;2321;0;2321;;53.451;352;53.803;;;;;;;;;;;
7/28/14;2894;4;2898;;56.345;356;56.701;;;;;;;;;;;
7/29/14;3168;3;3171;;59.513;359;59.872;;;;;;;;;;;
7/30/14;3236;5;3241;;62.749;364;63.113;;;;;;;;;;;
7/31/14;3365;5;3370;;66.114;369;66.483;;65.388;;;;;;;;;
8/1/14;3048;6;3054;;69.162;375;69.537;;;;;;;;;;;
8/2/14;2533;1;2534;;71.695;376;72.071;;;;;;;;;;;
8/3/14;2624;0;2624;;74.319;376;74.695;;;;;;;;;;;
8/4/14;2813;4;2817;;77.132;380;77.512;;;;;;;;;;;
8/5/14;2830;6;2836;;79.962;386;80.348;;;;;;;;;;;
8/6/14;3054;6;3060;;83.016;392;83.408;;;;;;;;;;;
8/7/14;2967;5;2972;;85.983;397;86.380;;;;;;;;;;;
8/8/14;2907;9;2916;;88.890;406;89.296;;;;;;;;;;;
8/9/14;2582;0;2582;;91.472;406;91.878;;;;;;;;;;;
8/10/14;2687;1;2688;;94.159;407;94.566;;;;;;;;;;;
8/11/14;2900;2;2902;;97.059;409;97.468;;;;;;;;;;;
8/12/14;3008;3;3011;;100.067;412;100.479;;;;;;;;;;;
8/13/14;3102;9;3111;;103.169;421;103.590;;;;;;;;;;;
8/14/14;2791;3;2794;;105.960;424;106.384;;;;;;;;;;;
8/15/14;2392;0;2392;;108.352;424;108.776;;;;;;;;;;;
8/16/14;2254;0;2254;;110.606;424;111.030;;;;;;;;;;;
8/17/14;2444;3;2447;;113.050;427;113.477;;;;;;;;;;;
8/18/14;2945;5;2950;;115.995;432;116.427;;;;;;;;;;;
8/19/14;3155;5;3160;;119.150;437;119.587;;;;;;;;;;;
8/20/14;3358;0;3358;;122.508;437;122.945;;;;;;;;;;;
8/21/14;3678;4;3682;;126.186;441;126.627;;;;;;;;;;;
